question_id,question,answer,latency,tokens,success
Q01,My landlord in Los Angeles raised my rent by 12% this year. Is that legal under California law?,"Under California law, rent increases are generally limited by the Tenant Protection Act of 2019 (AB 1482). This law restricts annual rent increases to no more than 5% plus the regional Consumer Price Index (CPI), with a maximum total increase of 10% per year. Since your rent was increased by 12%, this exceeds the statewide cap of 10%. 

However, local rent control ordinances in cities like Los Angeles may impose even stricter limits. It is advisable to check if Los Angeles has specific rent control laws that could restrict your rent increase further.

Based on the information provided, a 12% increase appears to be above the legal limit under California law and local ordinances, unless there are specific exceptions or different terms in your lease. You may want to consult a local tenants' rights organization or legal professional for personalized advice.",2.7901699542999268,205.4,True
Q02,I live in a 10-year-old apartment in San Diego. Does the statewide rent cap apply to me?,"Based on the information provided, the statewide rent cap under the Tenant Protection Act of 2019 (AB 1482) applies to most rental properties in California that are over 15 years old. Since your apartment is 10 years old, it is generally not covered by this statewide rent cap. 

However, local rent control ordinances in cities like San Diego may have their own rules and protections. You should check if San Diego has specific rent control laws that apply to your building. 

In summary:
- The statewide rent cap does **not** typically apply to your 10-year-old apartment.
- You may have additional protections if San Diego has local rent control ordinances.

It would be a good idea to verify with local housing authorities or a tenants' rights organization in San Diego for the most accurate information regarding local laws.",3.835920810699463,200.20000000000002,True
Q03,My landlord hasn’t fixed a mold problem for 6 weeks. What are my legal options in California?,"In California, if your landlord hasn't fixed a mold problem for 6 weeks, you have several legal options:

1. **Notify Your Landlord in Writing:** Ensure you have documented your request for repairs. Under California law, landlords are generally required to make necessary repairs within 30 days, especially for issues affecting habitability like mold.

2. **Request a Habitability Inspection:** You can contact local health or building authorities to inspect the property and issue a notice to your landlord to address the mold problem.

3. **Withhold Rent or Repair and Deduct:** If the landlord ignores your written request, you may have the option to withhold rent (by placing it in a separate account) or repair the issue yourself and deduct the cost from your rent. However, these remedies must be used carefully to avoid eviction risks.

4. **File a Complaint with Local Agencies:** You can report the issue to local health departments or code enforcement agencies, which can compel the landlord to address the mold.

5. **Seek Legal Assistance:** If the landlord continues to neglect repairs, you may consider consulting a tenant rights organization or an attorney. You might also have grounds to pursue a rent reduction, damages, or even terminate your lease if the mold makes the unit uninhabitable.

6. **Potential for Legal Action:** If necessary, you can file a lawsuit for breach of the implied warranty of habitability, which requires landlords to maintain rental units in a habitable condition.

Remember, acting promptly and keeping detailed records of all communications and inspections is crucial. If you're unsure about the best course of action, contacting a local legal aid organization can provide guidance tailored to your situation.",5.322649717330933,378.3,True
Q04,Can my landlord in Oakland evict me just because my one-year lease ended?,"In Oakland, your landlord cannot evict you simply because your one-year lease has ended. Under California law, and specifically under AB 1482, most tenants are protected from no-cause evictions, meaning your landlord must have a valid reason (""just cause"") to evict you, such as nonpayment of rent, violation of lease terms, creating a nuisance, or the owner moving in (with proper notice and relocation assistance in some cases). 

Since your lease ended and there is no indication of any violation or other just cause, your landlord cannot legally evict you just because the lease expired. However, it's always good to review your specific lease agreement and local ordinances, and consider consulting a legal professional for personalized advice.",2.1174075603485107,167.70000000000002,True
Q05,How long does my landlord have to return my security deposit after I move out in California?,"In California, your landlord is required to return your security deposit within 21 days after you move out. If there are any deductions, your landlord must also provide you with a written explanation and copies of receipts for repairs over $125.",0.9583127498626709,74.10000000000001,True
Q06,My landlord in Houston shut off my electricity because I was 5 days late on rent. Is that allowed in Texas?,"In Texas, it is illegal for your landlord to shut off your electricity as a way to evict you or because you are late on rent. The context indicates that self-help evictions, such as changing locks or shutting off utilities, are illegal in Texas. Therefore, your landlord's action of shutting off your electricity is not allowed. If this has happened, you may want to seek legal assistance or contact local authorities to address the situation.",2.118953227996826,123.5,True
Q07,I’ve lived in my Dallas apartment for 8 months. How much notice does my landlord need to give me for a rent increase?,"In Dallas, if you are on a month-to-month lease, your landlord generally must give you at least 30 days' written notice before increasing your rent.",0.8793003559112549,61.1,True
Q08,"My AC broke in July in Austin,  and my landlord hasn’t fixed it in 10 days. What can I do under Texas law?","Under Texas law, if your landlord has not fixed your broken AC in 10 days, you have several options:

1. **Provide Written Notice:** Ensure you have given your landlord a written notice requesting the repair. Keep a copy for your records.

2. **Allow a Reasonable Time for Repairs:** Texas law generally considers 7 days as a reasonable time for urgent repairs, such as a broken AC during hot weather. Since it has been 10 days, this period has likely passed.

3. **Repair and Deduct:** You may have the right to arrange for the repair yourself and deduct the cost from your rent, but this should be done carefully to avoid eviction risks. Typically, you should notify your landlord in writing of your intent to repair and deduct, and keep receipts.

4. **Withhold Rent:** You might be able to withhold rent until the repair is made, but this is risky and should be done cautiously, ideally after consulting a legal professional or local tenant rights organization.

5. **Terminate the Lease:** If the issue makes the unit uninhabitable, you may have grounds to terminate the lease.

6. **Legal Action:** You can also contact local housing authorities or a legal aid organization for assistance. They can advise you on further steps, including filing a complaint or seeking a court order for the repair.

It’s important to document all communications and keep records of your notices and any expenses incurred. If you are unsure about the best course of action, consulting a local tenant rights organization or an attorney familiar with Texas landlord-tenant law is advisable.",4.848961353302002,369.2,True
Q09,"Can a landlord in Texas charge a $3, 000 security deposit for a $1, 200/month apartment?","In Texas, there is no state law that caps the amount a landlord can charge for a security deposit. The Texas Property Code states that landlords must return the deposit within 30 days after you move out, provided you give a forwarding address, and deductions can only be made for actual damages beyond normal wear and tear. 

Therefore, a landlord in Texas can charge a security deposit of $3,000 for a $1,200/month apartment, although it is generally considered good practice for deposits to be reasonable and not excessively high. Keep in mind that the deposit amount should be justified by the landlord and is subject to the terms of your lease agreement.",1.7817409038543701,165.1,True
Q10,I received a 3-day notice to vacate in Fort Worth for late rent. What happens if I don’t leave?,"If you do not leave after receiving a 3-day notice to vacate in Fort Worth for late rent, your landlord can file an eviction lawsuit (known as forcible entry and detainer) against you. This legal process allows the landlord to seek a court order to remove you from the property. You have the right to appear in court and present your side. Ignoring the eviction process can result in a court judgment against you, and law enforcement may then carry out the eviction to remove you from the premises. It is important to respond to any legal notices and consider seeking legal assistance to understand your options.",2.0326106548309326,162.5,True
