user_input,retrieved_contexts,response,reference,context_recall,faithfulness,factual_correctness,answer_relevancy
My landlord in Los Angeles raised my rent by 12% this year. Is that legal under California law?,[],I don't know,"No, a 12% rent increase exceeds California’s statewide rent cap. Under the Tenant Protection Act of 2019 (AB 1482), landlords may increase rent by no more than 5% plus the local Consumer Price Index (CPI), with a maximum total increase of 10% per year. This applies to most rental units over 15 years old, including those in Los Angeles.",0.0,0.0,0.0,0.0
I live in a 10-year-old apartment in San Diego. Does the statewide rent cap apply to me?,[],"Yes, the statewide rent cap applies to most tenants in California, including those living in a 10-year-old apartment in San Diego.","No. The statewide rent cap under AB 1482 only applies to buildings that are 15 years or older. Since your apartment is only 10 years old, it is not covered by the rent cap, unless your city has a local ordinance that includes newer buildings (San Diego’s local rent control, if any, would need to be checked separately).",0.0,0.0,0.0,0.9208881344973813
My landlord hasn’t fixed a mold problem for 6 weeks. What are my legal options in California?,[],I don't know,"You have several options. First, you must have given written notice. If the landlord still hasn’t acted after a reasonable time (typically 30 days for non-urgent issues, less for health hazards like mold), you may legally withhold rent (placed in a separate account), “repair and deduct” (up to one month’s rent), or potentially terminate the lease. Retaliation for requesting repairs is illegal.",0.0,0.0,,0.0
Can my landlord in Oakland evict me just because my one-year lease ended?,[],"No, for most tenants in California, including Oakland, no-cause evictions are illegal. Your landlord cannot evict you solely because your one-year lease ended. They must have a valid reason (""just cause"") and follow proper legal procedures.","No. Under California’s “just cause” eviction law (AB 1482), landlords cannot evict tenants simply because a lease expired. They must have a valid reason, such as nonpayment, violation of lease terms, or owner move-in (with relocation assistance in rent-controlled cities like Oakland).",0.0,0.0,0.67,0.9831875850489328
How long does my landlord have to return my security deposit after I move out in California?,[],Your landlord must return your security deposit within 21 days after you move out in California.,"Within 21 days after you move out, your landlord must return your full security deposit or provide an itemized written statement explaining any deductions, along with receipts for repairs over $125.",0.0,0.0,0.0,0.9610771357026372
My landlord in Houston shut off my electricity because I was 5 days late on rent. Is that allowed in Texas?,[],I don't know,"No. Self-help evictions—including shutting off utilities—are illegal in Texas, even for late rent. Landlords must go through the formal court eviction process. You can report this to local authorities or seek legal aid.",0.0,0.0,0.0,0.0
I’ve lived in my Dallas apartment for 8 months. How much notice does my landlord need to give me for a rent increase?,[],"Texas law generally requires landlords to give proper notice of a rent increase, typically 30 days for month-to-month tenancies.","In Texas, landlords must typically provide 30 days’ notice for a rent increase in a month-to-month tenancy. Since you’ve lived there 8 months, you’re likely on a month-to-month lease (unless your original lease auto-renewed).",0.0,0.0,0.8,0.7153260409462202
"My AC broke in July in Austin,  and my landlord hasn’t fixed it in 10 days. What can I do under Texas law?",[],"Based on the provided context, under Texas law, if your AC is broken and the landlord has not fixed it within a reasonable time after you reported the issue, you may have the right to repair and deduct (up to one month’s rent) or terminate the lease. However, you must give written notice and allow a reasonable time—usually 7 days for urgent issues. Since your AC has been broken for 10 days, you should notify your landlord in writing about the repair needed, give them a reasonable time to fix it, and if they do not respond or fix the issue within that time, you may consider taking the appropriate action such as repair and deduct or ending your lease.","In extreme heat, AC is considered essential. After giving written notice, you may be able to “repair and deduct” (up to one month’s rent) or terminate the lease if the landlord fails to act within a reasonable time—which for life-threatening conditions like no AC in summer could be as short as 3–7 days.",0.0,0.0,0.44,0.8853419020696393
"Can a landlord in Texas charge a $3, 000 security deposit for a $1, 200/month apartment?",[],I don't know,"Yes. Texas law does not cap security deposits. However, the landlord must return it within 30 days if you provided a forwarding address and there are no damages beyond normal wear and tear.",,0.0,,0.0
I received a 3-day notice to vacate in Fort Worth for late rent. What happens if I don’t leave?,[],"Error: status_code: 429, body: data=None id='c9119b81-4421-4613-bf7b-879914dbdc76' message=""You are using a Trial key, which is limited to 10 API calls / minute. You can continue to use the Trial key for free or upgrade to a Production key with higher rate limits at 'https://dashboard.cohere.com/api-keys'. Contact us on 'https://discord.gg/XW44jPfYJu' or email us at support@cohere.com with any questions""","If you don’t pay or vacate within 3 days, your landlord can file an eviction lawsuit (forcible entry and detainer). You’ll receive a court summons. Do not ignore it—you have the right to appear in court and present your case. If you lose, a constable may forcibly remove you.",0.0,0.0,0.0,0.0
